,IFT,IFT_pred
842,39.3,39.11614793650793
232,27.5,27.2270774404762
1144,50.67,50.87451569444443
776,37.7,37.036024821428526
1031,47.2,46.721412559523806
1501,56.45,53.574624265873055
902,44.8,44.74725267857144
1162,30.1,31.0170417857143
1486,64.2,63.21610038419917
1755,40.01,39.205109464285705
742,34.7,34.53266882936507
1392,42.83,44.02110452380953
361,32.87,33.28288035714285
805,43.5,44.25900873015873
1346,64.74,65.26948654761904
351,35.11,34.88017226190475
1384,51.46,52.800076186868644
1435,71.3,70.92913047619047
323,29.89,29.703075694444447
1615,28.71,29.57131519841269
730,37.0,36.71311910714286
1623,33.4,33.450905212842734
542,39.67,39.116192175324656
1000,52.0,51.92086958333335
525,42.49,41.91319240079363
1758,50.9,49.873730833333326
1079,32.2,32.34614285714284
458,29.23,29.122104642857153
477,45.13,45.19313297619047
650,29.2,29.392533630952386
1211,30.6,30.017059642857145
1677,53.78,51.835367857142856
13,32.24,32.322828392857126
1456,60.13,59.68489916666669
1710,40.52,40.63331345238095
1283,38.36,38.64956919733047
368,36.72,36.5531571825397
938,42.5,41.054609675324684
341,38.34,38.788429583333354
1476,67.82,67.11430373376623
706,33.1,32.7668669047619
660,40.0,39.890778511904756
691,30.7,30.54774123015874
279,31.25,30.623505357142843
602,33.6,33.003376825396835
1297,44.86,45.34490845238095
317,46.39,45.48249057539682
1513,60.81,60.368311309523826
1231,63.3,63.060899464285676
1536,58.46,53.93954498015868
400,29.58,30.190525833333325
335,41.81,42.20526420634922
168,22.23,27.253387202380964
594,45.0,44.41237327380945
1418,51.23,53.11676071428574
481,47.02,46.84280575396827
505,49.49,48.57316932539684
1640,39.63,39.5657350595238
178,23.05,27.023584880952388
1360,33.08,33.45533154761903
1703,36.71,36.760403154761875
1198,21.82,23.579967460317466
365,47.21,47.6763722023809
775,43.3,43.396374523809506
1363,37.74,37.00716196428572
891,31.5,32.14208448412699
319,38.83,38.930555560966795
1511,68.02,66.91452932900441
1368,34.1,33.93104405303031
1377,63.96,64.69100261904768
1481,66.79,66.23837458333338
1173,49.03,48.98641380952379
355,47.92,48.548126448412724
715,35.0,35.361043214285715
1014,44.8,44.27445773809525
284,41.67,41.32365130952381
606,32.8,32.504697876984125
992,67.4,66.78095988095232
266,30.7,30.107282202380972
1637,48.15,47.111695753968235
679,40.8,40.71142
520,57.0,56.96502878968256
978,46.5,46.11259642857148
610,31.6,31.200676170634914
392,27.54,28.098206230158745
1095,44.4,44.490624404761896
1391,42.33,43.01627166666666
782,35.8,35.44925970238094
1716,57.12,56.68023704365082
1525,64.41,60.28718716269843
1130,35.06,35.39461523809523
1092,56.7,56.247646428571414
657,33.5,33.310383035714274
198,44.2,43.788894025974
1257,66.76,65.31438928571428
1315,69.19,68.74374507936511
637,28.1,28.53046134920635
135,28.0,27.827805595238104
197,46.1,49.2851720634921
646,30.0,30.285767202380953
1657,47.96,49.43551178571426
193,64.5,64.90006779761907
1294,48.38,48.943235892857146
1534,51.99,52.18273589285711
1286,67.06,67.3930864285715
977,48.0,45.81876119047618
541,44.64,44.663646547619045
287,33.6,32.72186519841271
537,53.44,51.934971349206336
734,62.0,60.958145396825394
756,32.6,32.73162898809525
1573,29.4,29.149931369047618
1757,55.32,55.502782222222194
1749,44.67,46.08165107142857
1666,58.22,57.55057386904766
18,45.46,46.220069226190475
645,22.5,22.813226547619042
941,39.8,40.26964440476189
1002,50.5,49.57468845238093
843,42.1,40.8820319047619
1662,34.71,34.78869839285716
445,43.79,44.32957208333336
1365,31.88,32.4854800595238
1488,57.68,57.28076778499276
675,47.0,46.591360535714266
759,31.2,30.976752500000007
1175,41.88,40.940681230158724
439,29.19,29.957329107142836
1448,59.54,60.1952862698413
724,44.6,43.738687500000005
1439,58.03,58.00151357142854
1336,28.12,28.210127142857168
792,32.7,32.49367186507937
1433,43.21,42.249653174603175
4,30.49,30.274773749999987
478,65.73,65.25694714285716
1447,63.08,63.93754976190478
786,34.8,34.11864182539684
826,32.4,32.39146440476191
903,46.9,47.22874428571429
1609,30.82,30.67231103174602
1219,38.0,37.65176928571429
858,35.4,34.977570436507975
1143,59.6,59.39386771825396
1148,29.91,27.978424999999998
870,44.3,43.82166351190476
1097,44.2,44.1220738095238
1028,49.3,48.62560271825402
752,34.0,33.73634577380953
416,27.13,27.344642738095228
309,43.88,41.913962976190476
486,29.66,28.575109583333333
1314,27.56,29.555887797619043
353,31.46,31.09429398809523
877,39.6,39.67039031746031
549,31.21,30.84319136904764
755,33.7,33.52803511904761
434,42.68,42.96512267857146
926,62.2,63.4459885119048
219,69.3,68.67204882936511
692,43.8,43.208180535714284
1237,55.21,54.01237726190477
965,58.4,58.749394583333284
115,31.1,29.64041250721501
731,24.8,25.511670039682528
947,35.0,35.454229999999995
558,55.3,56.42744547619045
48,39.63,40.232037591991336
616,29.2,29.387517438672447
1576,35.94,34.763891607142845
620,29.8,29.050999365079388
261,30.3,30.384093928571428
612,30.6,30.49511492063493
1480,68.76,67.66527726190482
1706,58.22,57.64927011904762
560,43.9,46.9723974404762
707,43.1,43.848425396825384
1416,53.25,55.70639529761905
1712,37.45,37.79793159632033
195,55.1,57.37532682539679
322,31.11,30.68016753968254
490,58.79,57.975201726190456
872,42.3,41.04169713564212
37,39.82,40.110981190476174
590,59.6,58.2414613293651
698,36.8,36.23850785714286
1291,55.58,55.30797501984129
1550,39.1,37.79800484126984
30,38.8,39.029515714285715
1626,54.77,55.06883359126985
313,29.85,29.51822607142856
1171,56.79,57.1912575
1337,27.22,28.4544959325397
553,29.13,28.592800436507936
763,30.1,30.342409603174623
579,30.5,30.34409984126983
1351,51.2,50.44487980158735
1412,58.71,58.08353511904764
172,25.07,26.29693660714284
1282,40.59,40.29399139971142
774,38.5,38.122585108225124
84,32.18,32.65032309523811
482,41.29,40.49728178571429
129,25.5,25.14594113095238
635,29.9,29.65957658730159
555,24.04,24.197883977272735
848,38.0,37.37582238095238
1074,37.2,36.64218869047619
1027,53.3,53.067896865079355
138,36.3,36.078713988095245
455,38.15,38.58034364177489
163,25.0,25.478729047619044
500,27.14,27.88127589285713
565,43.1,41.67851351190477
1678,46.36,45.1016403968254
145,27.5,26.24556246031747
1403,34.77,35.22233780303031
793,29.5,29.343519166666653
1326,38.01,37.21220958333332
739,48.7,48.33086236111113
1024,59.6,59.92255404761905
1275,48.17,46.14069080447332
356,46.57,46.83639595238091
1048,36.1,35.92783376984123
285,37.45,38.23087349206348
42,28.67,28.772778452380948
1069,39.3,39.809093722943715
885,34.0,33.90149452380954
503,56.03,54.5678575396825
127,28.3,28.70673912698414
1651,31.0,31.065413392857128
743,42.5,42.62547023809521
275,28.2,27.702559960317462
1013,43.4,44.020041587301556
1240,54.58,53.66796005952385
1507,65.62,65.44881595238107
281,28.49,28.39249866883116
1625,33.06,33.09295759379509
915,36.6,36.34877059523813
933,47.0,48.39544285714283
1553,50.1,51.72045059163058
959,69.2,68.38947857142854
1298,43.14,44.394235952380974
1073,37.0,37.437266309523814
170,23.33,25.364011673881677
1685,36.78,36.41207083333333
1639,41.31,41.371639761904774
996,58.6,58.54900410714282
1764,42.43,41.41574083333333
238,30.5,30.122924345238104
401,29.79,30.38880595238095
596,39.5,39.50182819444446
667,29.1,29.291288809523817
512,30.47,29.966317500000006
1083,30.8,31.263455357142835
379,37.75,40.542977857142866
923,33.1,33.10201309523811
1568,32.35,31.360629682539702
155,59.66,60.86039559523808
1325,38.65,36.36232590367965
890,34.3,34.36637714285717
1038,39.7,39.09940559523809
925,32.5,32.71275023809525
1174,45.62,44.98922277777776
530,32.75,32.412435297619034
1410,60.47,60.68993605158727
765,29.6,30.027684246031757
1223,33.0,34.05108422619049
1003,49.1,50.75227595238096
950,35.1,34.763767738095204
1214,29.1,28.549372750721492
1343,22.78,24.072077817460343
1165,27.39,27.078371488095243
1333,29.72,30.903354078282828
982,44.5,44.53202821428571
813,35.8,35.96043634920638
1060,50.4,49.936395595238075
684,29.8,30.15729110930738
800,56.7,55.188904166666646
1128,48.7,48.73777134920636
409,29.24,29.164707380952386
993,62.2,63.93336523809519
237,30.7,30.144901666666673
296,33.31,33.21150160714283
200,40.1,39.710080773809516
375,27.93,27.75471726190476
1183,46.34,46.70660611111112
99,42.39,42.93386119047623
686,59.2,58.19429017857142
647,20.9,21.69349113095239
109,30.8,30.295823571428578
179,22.74,25.367075582611847
622,58.2,57.7830351984127
1084,32.9,33.20118829365081
630,38.5,38.35927285714285
1285,69.85,69.27396031746034
1690,34.83,34.80568698412698
158,35.95,36.39705071428572
1653,30.75,30.862404345238073
134,28.2,27.882275562770566
485,30.28,29.92943154761905
887,32.8,32.66625095238097
52,30.87,30.38645273809523
1362,38.47,37.18859892857143
1258,63.1,62.39126970238094
329,32.24,33.017150416666645
968,49.9,48.891807321428594
736,51.0,51.90315154761902
754,33.2,33.21419410714286
1023,60.6,59.97700148809531
1305,37.27,35.25473553571429
1457,57.71,58.39119785714286
22,35.96,36.04423968253966
784,35.5,35.11382029761904
473,33.64,34.361873194444435
608,32.4,32.00738982142859
