,IFT,IFT ANN model,IFT ANN model
387,34.58,33.886753,33.886753
388,31.9,31.730902,31.730902
389,57.46,58.90501,58.90501
390,42.42,43.056267,43.056267
391,42.75,44.558723,44.558723
392,59.22,58.97125,58.97125
393,34.7,34.552036,34.552036
394,58.2,56.61877,56.61877
395,32.1,30.295462,30.295462
396,62.48,62.15698,62.15698
397,67.2,65.200714,65.200714
398,29.95,29.56002,29.56002
399,52.3,50.880306,50.880306
400,27.44,27.418623,27.418623
401,28.78,29.773726,29.773726
402,74.0,71.81094,71.81094
403,66.33,63.18405,63.18405
404,39.45,39.86462,39.86462
405,48.86,50.78445,50.78445
406,23.5,28.352644,28.352644
407,69.8,67.87115,67.87115
408,37.11,37.3374,37.3374
409,31.1,31.167805,31.167805
410,60.29,57.529415,57.529415
411,36.14,36.78679,36.78679
412,57.2,57.925648,57.925648
413,37.97,37.987057,37.987057
414,52.4,52.18956,52.18956
415,64.9,64.80074,64.80074
416,53.3,53.97909,53.97909
417,48.16,49.187817,49.187817
418,46.79,46.927975,46.927975
419,28.3,28.142447,28.142447
420,42.9,42.385418,42.385418
421,34.09,34.519917,34.519917
422,51.0,50.66005,50.66005
423,29.4,32.22954,32.22954
424,24.3,23.928413,23.928413
425,36.97,37.45024,37.45024
426,29.04,31.0343,31.0343
427,53.0,52.857895,52.857895
428,32.4,29.516699,29.516699
429,74.8,74.8386,74.8386
430,30.24,30.429438,30.429438
431,30.1,29.767658,29.767658
432,43.9,44.138733,44.138733
433,31.5,31.532515,31.532515
434,36.09,36.482243,36.482243
435,35.6,35.740566,35.740566
436,29.2,28.634277,28.634277
437,63.5,61.95072,61.95072
438,29.67,30.475115,30.475115
439,56.2,57.611954,57.611954
440,31.84,31.982624,31.982624
441,40.76,41.62507,41.62507
442,64.9,65.1,65.1
443,39.8,39.78274,39.78274
444,34.9,30.410006,30.410006
445,34.6,33.90243,33.90243
446,28.55,29.389265,29.389265
447,40.52,40.53925,40.53925
448,27.88,31.822414,31.822414
449,46.59,46.32135,46.32135
450,39.59,41.75037,41.75037
451,37.11,37.212643,37.212643
452,23.64,23.426516,23.426516
453,55.05,54.52301,54.52301
454,35.91,36.311077,36.311077
455,59.05,58.65611,58.65611
456,33.9,33.57269,33.57269
457,65.7,66.20847,66.20847
458,32.59,33.540447,33.540447
459,40.8,40.144505,40.144505
460,27.0,27.238037,27.238037
461,45.2,48.639572,48.639572
462,42.9,42.980892,42.980892
463,45.41,46.70106,46.70106
464,53.89,53.180264,53.180264
465,37.0,36.755043,36.755043
466,42.5,42.206116,42.206116
467,50.78,49.945995,49.945995
468,28.13,27.470568,27.470568
469,32.22,30.867502,30.867502
470,24.6,25.411861,25.411861
471,19.82,18.570719,18.570719
472,37.46,37.772907,37.772907
473,45.85,44.88962,44.88962
