,IFT,IFT_pred
1015,42.4,42.35326
240,29.6,29.629002
905,44.8,45.113705
310,40.21,40.003723
984,44.2,44.339813
1077,33.6,33.623974
241,65.1,65.02535
394,30.05,29.440805
1613,29.92,29.898512
1521,64.76,64.84129
1638,43.58,43.46192
1086,76.1,75.62051
1592,42.14,42.149555
1679,43.09,43.718105
1179,24.35,24.086855
278,31.69,31.756279
1586,48.43,48.301476
585,27.6,27.87484
764,30.8,31.053663
273,25.1,25.271233
378,33.37,33.03645
306,35.19,35.2316
62,33.7,33.903873
260,36.8,36.408985
1512,64.68,64.81189
502,59.93,59.70334
1063,45.0,45.039623
1135,30.99,31.167656
819,31.5,31.552908
1408,61.74,61.76081
252,51.2,51.30283
714,30.3,30.525295
1508,62.01,62.025494
214,73.7,73.70316
875,40.9,41.17541
1437,65.32,65.54587
1490,63.12,63.00188
1376,66.29,66.021385
325,46.92,46.878407
68,39.27,39.055218
895,60.6,60.422565
1429,45.47,45.168663
396,26.65,27.021917
1239,47.3,47.512035
64,51.38,51.439354
854,36.2,36.053528
1139,30.62,30.54043
1318,63.53,62.83013
363,53.65,53.673782
128,29.2,28.74717
760,32.3,31.918972
440,30.19,30.670551
1676,57.12,56.86779
1669,41.56,41.788216
1043,36.1,35.98864
1517,63.71,63.23843
563,46.8,46.556736
702,34.8,34.763947
242,29.3,29.304144
1099,44.1,44.08807
829,26.9,26.788437
1330,32.07,31.77704
1595,30.99,30.654675
359,37.42,37.201145
369,35.57,35.529
1546,63.0,62.82307
794,32.1,32.317116
1030,45.5,45.269962
1317,65.6,65.15315
1250,49.33,49.85427
1367,35.18,35.391224
536,56.2,56.062828
1007,47.4,47.356693
1458,55.23,55.226765
1441,67.39,67.11581
318,43.04,43.104485
1350,49.63,49.385597
972,48.6,48.963547
56,48.24,48.098053
357,44.79,44.64994
510,32.05,33.11298
1531,60.77,60.62113
1194,28.69,28.720158
1489,53.94,53.919575
1249,40.87,41.21741
1210,31.2,31.117764
10,37.77,37.909798
1542,46.6,46.549355
182,60.69,59.933628
1565,42.37,42.72071
627,38.6,38.545677
1743,39.49,39.559334
1213,29.4,29.365305
1140,30.81,30.782953
946,37.2,37.212765
137,42.6,42.57524
865,52.4,52.314636
907,42.9,43.025513
1324,46.07,46.198936
1468,50.62,50.618477
700,35.6,35.05605
717,34.0,33.78597
1411,59.72,59.67847
1072,38.1,38.04484
1668,43.55,43.83586
125,30.8,30.863527
869,46.8,46.98628
878,38.8,38.98653
1070,38.9,39.013634
256,42.3,41.966198
1354,49.09,49.137367
839,46.1,46.356785
1347,62.92,62.99707
91,37.74,38.143593
1584,19.9,19.868507
16,31.03,30.959398
1293,51.11,50.734097
1378,60.5,60.350555
1071,38.1,38.22655
157,44.09,44.466114
1453,57.24,57.50115
883,35.3,35.17702
990,72.0,71.72438
971,50.9,51.046608
658,46.5,46.513306
382,28.77,28.469864
1242,51.05,51.267277
1617,46.05,46.412746
1569,32.33,32.19301
90,40.72,40.89853
674,32.5,32.659897
429,30.04,30.196556
102,37.55,38.0177
1078,34.4,34.638912
1469,48.54,48.38451
457,27.3,27.400848
1012,45.5,45.133156
614,30.3,30.05347
913,38.9,38.76409
1151,28.96,29.050718
1133,30.79,30.953041
484,30.12,30.415068
43,27.46,27.541468
422,37.54,37.459763
593,43.7,43.40968
38,38.58,38.314934
1136,31.09,31.29303
588,19.3,18.960531
809,39.1,39.092613
1762,44.37,44.124023
453,31.33,31.493074
817,33.5,33.277023
1664,34.29,34.458324
160,25.15,25.44185
1484,56.02,55.741436
1169,26.27,26.264608
1102,54.6,54.74314
474,35.96,36.119896
1281,42.51,42.67969
96,53.66,53.776768
1313,30.38,30.006044
1209,32.5,32.397182
749,36.7,36.742382
788,33.5,33.67949
1122,47.8,47.87197
226,29.1,28.98625
450,26.98,27.05664
876,39.7,39.619274
1671,38.07,38.071472
381,27.52,27.79469
1556,37.7,37.09875
815,34.4,34.398838
1432,44.31,44.538727
1055,55.9,56.01444
648,29.7,29.425428
1301,39.29,39.393673
321,32.16,32.00092
651,19.4,19.277903
1704,36.27,36.16978
948,36.0,35.735794
442,35.95,35.979755
582,22.2,22.068943
750,34.0,34.053295
1409,58.32,58.184593
1010,46.6,46.712807
873,42.6,42.599876
713,36.8,36.75427
371,26.0,25.880674
397,30.3,29.90568
1529,53.18,53.036465
1188,22.82,22.7056
188,23.36,24.398453
921,33.8,33.67078
1577,30.6,30.549845
1604,23.25,23.42735
1618,41.08,41.003
1199,18.22,18.207382
122,38.8,39.111515
9,42.22,42.270264
1487,61.75,61.736565
164,57.52,57.99846
804,43.8,44.285454
1125,35.3,35.483078
231,29.6,30.425268
373,25.73,25.928434
571,34.7,35.458775
1567,32.98,32.85575
726,41.5,41.223194
271,26.8,26.594572
1732,36.04,36.158634
239,72.0,71.96224
934,46.8,46.62651
1207,44.1,43.968975
