,IFT,IFT ANN model,IFT ANN model,IFT ANN model
449,46.59,46.162395,46.162395,46.162395
450,39.59,37.602005,37.602005,37.602005
451,37.11,36.68188,36.68188,36.68188
452,23.64,21.363516,21.363516,21.363516
453,55.05,53.869286,53.869286,53.869286
454,35.91,35.555355,35.555355,35.555355
455,59.05,58.428043,58.428043,58.428043
456,33.9,33.25061,33.25061,33.25061
457,65.7,62.118187,62.118187,62.118187
458,32.59,33.157597,33.157597,33.157597
459,40.8,39.834568,39.834568,39.834568
460,27.0,26.523058,26.523058,26.523058
461,45.2,47.555668,47.555668,47.555668
462,42.9,42.645374,42.645374,42.645374
463,45.41,45.9654,45.9654,45.9654
464,53.89,54.26382,54.26382,54.26382
465,37.0,35.777027,35.777027,35.777027
466,42.5,41.746506,41.746506,41.746506
467,50.78,49.82396,49.82396,49.82396
468,28.13,27.793724,27.793724,27.793724
469,32.22,30.19137,30.19137,30.19137
470,24.6,22.223574,22.223574,22.223574
471,19.82,17.711267,17.711267,17.711267
472,37.46,36.927036,36.927036,36.927036
473,45.85,44.6114,44.6114,44.6114
474,51.3,49.089222,49.089222,49.089222
475,30.6,30.87021,30.87021,30.87021
476,31.81,29.783728,29.783728,29.783728
477,41.1,40.41128,40.41128,40.41128
478,57.0,59.392788,59.392788,59.392788
479,58.06,57.37077,57.37077,57.37077
480,45.05,46.097473,46.097473,46.097473
481,40.8,40.131573,40.131573,40.131573
482,42.4,41.05708,41.05708,41.05708
483,32.82,32.814445,32.814445,32.814445
484,29.82,28.040007,28.040007,28.040007
485,36.05,35.85548,35.85548,35.85548
486,55.9,58.83427,58.83427,58.83427
487,46.65,47.594143,47.594143,47.594143
488,31.7,31.946049,31.946049,31.946049
489,61.3,64.09884,64.09884,64.09884
490,42.19,42.129078,42.129078,42.129078
491,31.14,29.307558,29.307558,29.307558
492,46.68,47.80579,47.80579,47.80579
493,57.0,58.61124,58.61124,58.61124
494,45.9,44.00059,44.00059,44.00059
495,27.8,27.700235,27.700235,27.700235
496,22.25,21.166492,21.166492,21.166492
497,29.26,28.723127,28.723127,28.723127
498,28.1,26.30343,26.30343,26.30343
499,27.73,27.305065,27.305065,27.305065
500,23.38,20.909819,20.909819,20.909819
501,60.84,58.958218,58.958218,58.958218
502,43.7,43.46493,43.46493,43.46493
503,50.53,51.280224,51.280224,51.280224
504,46.3,47.162067,47.162067,47.162067
505,28.4,27.822962,27.822962,27.822962
506,36.85,37.147137,37.147137,37.147137
507,25.65,28.433403,28.433403,28.433403
508,29.05,27.5093,27.5093,27.5093
509,40.6,40.44569,40.44569,40.44569
510,45.38,45.243717,45.243717,45.243717
511,45.67,46.39168,46.39168,46.39168
512,55.98,53.552692,53.552692,53.552692
513,33.4,32.63942,32.63942,32.63942
514,36.6,36.355244,36.355244,36.355244
515,28.88,27.284956,27.284956,27.284956
516,20.2,19.673714,19.673714,19.673714
517,56.13,57.15552,57.15552,57.15552
518,23.14,20.17473,20.17473,20.17473
519,20.2,19.493498,19.493498,19.493498
520,62.55,61.158813,61.158813,61.158813
521,25.8,23.38032,23.38032,23.38032
522,31.1,28.433403,28.433403,28.433403
523,31.86,31.621828,31.621828,31.621828
524,36.86,37.994644,37.994644,37.994644
525,27.86,27.882551,27.882551,27.882551
526,56.7,59.439423,59.439423,59.439423
527,43.02,43.654842,43.654842,43.654842
528,62.1,60.427364,60.427364,60.427364
529,68.78,68.20053,68.20053,68.20053
