Temperature,Pressure,Methane,Nitrogen,M1_conc,M2_conc,Salttype,D_change,Phase,IFT
35.05,10.02,0,0,0,0,Water,0.284774436,SC,30.3
5.85,20,0,0,0,0,Water,0.012191525,LIQUID,12.4
35.05,12.51,0,0,0,0,Water,0.222477064,SC,29.1
35.05,15.02,0,0,0,0,Water,0.185305592,SC,28.5
14.15,0.1,0,0,0,0,Water,0.99729364,GAS,73.7
35.05,17.55,0,0,0,0,Water,0.158432709,SC,27.9
13.95,1,0,0,0,0,Water,0.978978979,GAS,65.2
35.05,20.03,0,0,0,0,Water,0.136889784,SC,27.2
14.15,2,0,0,0,0,Water,0.95777027,GAS,56.7
45.55,0.1,0,0,0,0,Water,0.988587732,LIQUID,69.3
14.55,3.01,0,0,0,0,Water,0.930451128,GAS,49.5
45.35,2.03,0,0,0,0,Water,0.954692557,LIQUID,59
14.65,4.01,0,0,0,0,Water,0.898305085,GAS,42.4
45.35,4.03,0,0,0,0,Water,0.90990991,LIQUID,50.5
14.65,5.01,0,0,0,0,Water,0.845386534,GAS,33.9
45.25,6.05,0,0,0,0,Water,0.849802372,LIQUID,43
14.75,6.07,0,0,0,0,Water,0.158496732,GAS,29.1
45.25,7.03,0,0,0,0,Water,0.810590631,LIQUID,39.8
14.55,6.97,0,0,0,0,Water,0.144144144,GAS,28.8
45.25,8.04,0,0,0,0,Water,0.751578947,SC,35.7
14.45,8,0,0,0,0,Water,0.130694892,LIQUID,28.4
45.25,9.07,0,0,0,0,Water,0.651982379,SC,29.6
14.45,9.91,0,0,0,0,Water,0.110663984,LIQUID,27.5
45.35,10.03,0,0,0,0,Water,0.501602564,SC,31.3
14.45,14.97,0,0,0,0,Water,0.073426573,LIQUID,25.2
45.25,11.02,0,0,0,0,Water,0.394402036,SC,31
14.45,19.96,0,0,0,0,Water,0.047058824,LIQUID,22.4
45.25,12.05,0,0,0,0,Water,0.339226519,SC,30.7
45.25,13.01,0,0,0,0,Water,0.305,SC,30.5
25.15,0.1,0,0,0,0,Water,0.995850622,GAS,72
44.85,14.05,0,0,0,0,Water,0.273062731,SC,29.6
25.05,1,0,0,0,0,Water,0.978947368,GAS,65.1
44.95,16.01,0,0,0,0,Water,0.236481033,SC,29.3
25.15,2,0,0,0,0,Water,0.957585644,GAS,58.7
45.05,18.02,0,0,0,0,Water,0.208846991,SC,28.8
25.15,3,0,0,0,0,Water,0.934628975,GAS,52.9
45.05,20.03,0,0,0,0,Water,0.186384666,SC,28.2
25.15,4,0,0,0,0,Water,0.905222437,GAS,46.8
60.05,0.1,0,0,0,0,Water,0.980683507,LIQUID,66
25.15,5,0,0,0,0,Water,0.868475992,GAS,41.6
60.05,2,0,0,0,0,Water,0.949675325,LIQUID,58.5
25.15,6.01,0,0,0,0,Water,0.80941704,GAS,36.1
60.05,4.01,0,0,0,0,Water,0.909413854,LIQUID,51.2
25.25,6.31,0,0,0,0,Water,0.778538813,GAS,34.1
60.15,6,0,0,0,0,Water,0.860952381,LIQUID,45.2
25.25,6.47,0,0,0,0,Water,0.291970803,GAS,32
60.05,7,0,0,0,0,Water,0.831041257,LIQUID,42.3
25.15,6.98,0,0,0,0,Water,0.261231281,GAS,31.4
60.05,8.01,0,0,0,0,Water,0.794768612,SC,39.5
25.15,7.47,0,0,0,0,Water,0.241085271,LIQUID,31.1
60.15,9.03,0,0,0,0,Water,0.751020408,SC,36.8
25.15,7.98,0,0,0,0,Water,0.225614296,LIQUID,30.3
60.15,10,0,0,0,0,Water,0.696537678,SC,34.2
25.15,8.96,0,0,0,0,Water,0.203168044,LIQUID,29.5
